#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Встроенный предохранительный перепускной клапан ,Параметр:Заказной код:Мембрана или поршень,Параметр:Заказной код:Наличие манометров ,Параметр:Заказной код:Давление
,W072S-0100C-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0100C-1S-V,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0100C-1S-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0100L-1S,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0100L-1S-5,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0100L-1S-5-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0100L-1S-5-V,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0100L-1S-5-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0100L-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0100L-1S-V,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0100L-1S-V-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0100X-1S,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0100X-1S-GAUGE,NPT 1/4,0.1-7 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0250C-1S,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0250C-1S-5,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0250C-1S-5-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0250C-1S-5-V,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0250C-1S-5-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0250C-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0250C-1S-V,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0250C-1S-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0250L-1S,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0250L-1S-5,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0250L-1S-5-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0250L-1S-5-V,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0250L-1S-5-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0250L-1S-Gauge,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0250L-1S-V,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0250L-1S-V-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0250X-1S,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0250X-1S-GAUGE,NPT 1/4,0.1-17 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0500C-1S,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0500C-1S-5,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0500C-1S-5-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0500C-1S-5-V,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0500C-1S-5-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0500C-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0500C-1S-V,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0500C-1S-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0500L-1S,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0500L-1S-5,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,5-35 бар
,W072S-0500L-1S-5-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0500L-1S-5-V,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,5-35 бар
,W072S-0500L-1S-5-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,5-35 бар
,W072S-0500L-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0500L-1S-V,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,да,Поршень вместо мембраны,нет,без
,W072S-0500L-1S-V-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
,W072S-0500X-1S,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,нет,без
,W072S-0500X-1S-GAUGE,NPT 1/4,0.2-35 бар,0.06,нерж. сталь 316L,нет,Поршень вместо мембраны,да,без
