"#","Код","Параметр:Код:Тип подсоединения","Параметр:Код:Подсоединение","Параметр:Код:Диапазон температуры (Впишите диапазон самостоятельно в комментарии к заказу.)","Параметр:Код:Материал корпуса, крышки","Параметр:Код:Диаметр термобаллона, мм","Параметр:Код:Конфигурация","Параметр:Код:Материал защитного экрана","Параметр:Код:Электроконтакты","Параметр:Код:Диаметр шкалы, мм","Параметр:Код:Заполнение термобаллона"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-1-__mm-L-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-G-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-2-__mm-L-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-G-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-3-__mm-L-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-G-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS1","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS2","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS11","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS12","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS21","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS22","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-C-S-4-__mm-L-MS3","C: Скользящая резьба","M20X1.5","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS1","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS2","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS11","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS12","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS21","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS22","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-G-MS3","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS1","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS2","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS11","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS12","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS21","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS22","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-1-__mm-L-MS3","D: Внутренняя резьба","M20X1.5","___С","SS316","ø4мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS1","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS2","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS11","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS12","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS21","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS22","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-G-MS3","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Газ"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","нет","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS1","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS1: Один контакт, замыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS2","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS2: Один контакт, размыкающий при достижении значения настройки","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS11","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS11: Два контакта, замыкающие при достижении значения настроек","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS12","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS21","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS22","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","150 мм","Жидкость"
,"T-MAA-S-G-20M-150-Q-__C-D-S-2-__mm-L-MS3","D: Внутренняя резьба","M20X1.5","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","150 мм","Жидкость"
