#,Заказной код,Параметр:Заказной код:Подсоединение (внутр),Параметр:Заказной код:Диапазон давлений,Параметр:Заказной код:Материал коннектора,Параметр:Заказной код:Материал уплотнительного кольца,Параметр:Заказной код:Материал защиты,Параметр:Заказной код:Материал шкалы
,"UA-36""-S-1-4-1-2",NPT 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-36""-S-2-1-1-1",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-36""-S-2-1-1-2",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-36""-S-2-2-1-1",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-36""-S-2-2-1-2",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-36""-S-2-3-1-1",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-36""-S-2-3-1-2",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-36""-S-2-4-1-1",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-36""-S-2-4-1-2",G 1/4,±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-36""-S-3-1-1-1",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,"UA-36""-S-3-1-1-2",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,"UA-36""-S-3-2-1-1",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,"UA-36""-S-3-2-1-2",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,"UA-36""-S-3-3-1-1",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,"UA-36""-S-3-3-1-2",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,"UA-36""-S-3-4-1-1",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,"UA-36""-S-3-4-1-2",Нет (для серии UC),±18 дюймов водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,"UA-36""-A-1-1-2-2",NPT 1/4,±18 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-36""-A-1-2-2-2",NPT 1/4,±18 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-36""-A-1-3-2-2",NPT 1/4,±18 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-36""-A-1-4-2-2",NPT 1/4,±18 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-36""-A-2-1-2-2",G 1/4,±18 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-36""-A-2-2-2-2",G 1/4,±18 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-36""-A-2-3-2-2",G 1/4,±18 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-36""-A-2-4-2-2",G 1/4,±18 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,"UA-36""-A-3-1-2-2",Нет (для серии UC),±18 дюймов водяного столба,Алюминий,NBR,Алюминий,Алюминий
,"UA-36""-A-3-2-2-2",Нет (для серии UC),±18 дюймов водяного столба,Алюминий,Витон,Алюминий,Алюминий
,"UA-36""-A-3-3-2-2",Нет (для серии UC),±18 дюймов водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,"UA-36""-A-3-4-2-2",Нет (для серии UC),±18 дюймов водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UC-200-N-3-4-1-1,Нет (для серии UC),±100 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-200-N-3-4-1-2,Нет (для серии UC),±100 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-200-N-3-4-2-2,Нет (для серии UC),±100 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-300-N-3-4-1-1,Нет (для серии UC),±150 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-300-N-3-4-1-2,Нет (для серии UC),±150 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-300-N-3-4-2-2,Нет (для серии UC),±150 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-400-N-3-4-1-1,Нет (для серии UC),±200 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-400-N-3-4-1-2,Нет (для серии UC),±200 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-400-N-3-4-2-2,Нет (для серии UC),±200 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-500-N-3-4-1-1,Нет (для серии UC),±250 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-500-N-3-4-1-2,Нет (для серии UC),±250 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-500-N-3-4-2-2,Нет (для серии UC),±250 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-600-N-3-4-1-1,Нет (для серии UC),±300 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-600-N-3-4-1-2,Нет (для серии UC),±300 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-600-N-3-4-2-2,Нет (для серии UC),±300 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-800-N-3-4-1-1,Нет (для серии UC),±400 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-800-N-3-4-1-2,Нет (для серии UC),±400 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-800-N-3-4-2-2,Нет (для серии UC),±400 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,UC-1000-N-3-4-1-1,Нет (для серии UC),±500 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,UC-1000-N-3-4-1-2,Нет (для серии UC),±500 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,UC-1000-N-3-4-2-2,Нет (для серии UC),±500 мм.водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-8""-N-3-4-1-1",Нет (для серии UC),±4 дюйма водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-8""-N-3-4-1-2",Нет (для серии UC),±4 дюйма водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-8""-N-3-4-2-2",Нет (для серии UC),±4 дюйма водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-12""-N-3-4-1-1",Нет (для серии UC),±6 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-12""-N-3-4-1-2",Нет (для серии UC),±6 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-12""-N-3-4-2-2",Нет (для серии UC),±6 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-16""-N-3-4-1-1",Нет (для серии UC),±8 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-16""-N-3-4-1-2",Нет (для серии UC),±8 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-16""-N-3-4-2-2",Нет (для серии UC),±8 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-20""-N-3-4-1-1",Нет (для серии UC),±10 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-20""-N-3-4-1-2",Нет (для серии UC),±10 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-20""-N-3-4-2-2",Нет (для серии UC),±10 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-24""-N-3-4-1-1",Нет (для серии UC),±12 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-24""-N-3-4-1-2",Нет (для серии UC),±12 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-24""-N-3-4-2-2",Нет (для серии UC),±12 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
,"UC-36""-N-3-4-1-1",Нет (для серии UC),±18 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,SS304
,"UC-36""-N-3-4-1-2",Нет (для серии UC),±18 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),SS304,Алюминий
,"UC-36""-N-3-4-2-2",Нет (для серии UC),±18 дюймов водяного столба,Без коннектора (для серии UC),Нет (для серии UC),Алюминий,Алюминий
